Democrat Yea,Republican Yea,Democrat Nay,Republican Nay,Democrat Not Voting,Republican Not Voting,,Senate Democrat Yea,Senate Republican Yea,Senate Democrat Nay,Senate Republican Nay,Senate Democrat Not Voting,Senate Republican Not Voting
NA,NA,NA,NA,NA,NA,,54,8,0,37,1,0
234,78,2,87,19,8,,54,44,0,0,1,1
0,137,244,32,12,6,,54,41,0,2,1,2
245,145,0,25,11,5,,55,44,0,0,0,1
226,75,6,94,23,6,,55,45,0,0,0,0
248,6,0,166,8,3,,0,35,54,10,1,0
245,151,4,17,7,7,,53,7,0,37,2,1
245,168,0,0,11,7,,0,40,53,4,2,1
1,128,250,41,5,6,,48,3,7,42,0,0
1,155,251,14,4,6,,55,37,0,8,0,0
228,61,24,108,4,6,,53,43,0,0,2,2
215,174,26,0,13,1,,8,11,45,32,2,2
203,170,30,0,10,2,,53,39,0,4,2,2
226,150,16,21,14,4,,51,43,0,0,4,2
230,156,0,0,26,19,,52,42,0,0,3,3
243,158,0,4,13,13,,23,26,31,18,1,1
242,162,0,0,14,13,,23,25,31,20,1,0
229,127,7,38,20,10,,47,44,2,1,6,0
218,66,6,95,32,14,,48,6,2,39,5,0
245,171,0,0,11,4,,52,13,1,31,2,1
238,144,1,26,17,5,,54,25,0,19,1,1
236,25,13,147,7,2,,11,37,43,7,1,1
NA,NA,NA,NA,NA,NA,,8,39,44,6,3,0
241,74,3,96,12,5,,54,43,0,1,1,1
225,67,5,93,25,15,,53,5,1,39,1,1
NA,NA,NA,NA,NA,NA,,52,27,2,16,1,2
136,68,97,96,23,11,,53,25,1,18,1,2
211,47,6,115,38,13,,48,34,6,9,1,2
232,165,0,0,24,10,,54,43,0,0,1,2
234,165,0,0,22,10,,12,24,41,20,2,1
235,167,0,0,21,8,,28,25,24,19,3,1
233,168,0,0,23,7,,49,32,4,12,2,1
234,166,0,0,22,9,,49,31,4,12,2,2
234,167,0,0,22,8,,30,35,24,9,1,1
232,50,6,118,18,7,,27,25,27,19,1,1
247,102,1,70,8,3,,54,44,0,0,1,1
37,166,204,0,15,9,,24,29,31,15,0,1
176,0,66,167,14,8,,54,38,1,6,0,1
142,167,101,0,13,8,,9,27,44,15,2,3
237,123,3,42,16,10,,34,18,20,27,1,0
NA,NA,NA,NA,NA,NA,,50,41,2,3,3,1
252,172,0,0,4,4,,52,41,0,0,3,4
251,165,1,8,4,3,,36,11,16,34,3,0
253,173,0,0,3,3,,12,35,40,10,2,0
253,157,0,15,3,4,,43,28,9,17,3,0
189,87,64,85,3,4,,30,10,22,35,3,0
238,61,5,103,12,11,,38,11,16,34,1,0
