Republican Yea,Democrat Yea,Republican Nay,Democrat Nay,Republican Not Voting,Democrat Not Voting,,Senate Democrat Yea,Senate Republican Yea,Senate Democrat Nay,Senate Republican Nay,Senate Democrat Not Voting,Senate Republican Not Voting
NA,NA,NA,NA,NA,NA,,52,25,0,15,1,5
NA,NA,NA,NA,NA,NA,,53,32,0,8,0,5
224,0,0,187,8,10,,0,35,52,10,1,0
227,0,1,190,4,7,,52,9,0,36,1,0
1,193,229,0,2,4,,51,41,0,3,1,0
228,0,1,195,3,2,,51,1,0,44,2,0
161,193,67,0,4,4,,48,2,3,43,2,0
222,181,0,0,10,16,,51,0,0,45,2,0
166,134,53,42,12,20,,51,26,0,19,2,0
1,3,221,176,10,21,,51,0,0,45,2,0
228,65,0,127,4,8,,50,12,1,33,2,0
225,142,1,51,6,7,,51,32,0,8,1,5
0,0,229,190,3,10,,0,34,53,10,0,1
157,5,71,187,4,8,,0,31,53,4,0,10
135,192,91,0,6,8,,52,39,0,5,1,1
214,7,14,183,4,10,,53,45,2,0,0,0
203,3,25,189,4,8,,2,44,51,0,0,1
201,1,26,191,5,8,,2,41,0,51,4,2
213,3,15,190,4,7,,53,23,2,0,22,0
202,6,26,186,4,8,,53,33,2,0,12,0
219,4,9,189,4,7,,52,4,1,39,0,1
38,190,190,2,4,8,,50,41,0,0,3,4
49,192,179,1,4,7,,51,18,0,27,2,0
199,196,29,0,4,4,,52,4,0,41,1,0
0,0,229,187,3,12,,50,20,0,25,3,0
229,3,0,193,2,4,,2,36,0,51,9,2
228,6,1,189,2,5,,49,0,2,4,45,0
171,120,56,73,3,6,,48,41,0,0,5,4
1,150,230,47,0,3,,12,32,38,13,3,0
199,86,33,111,0,3,,48,1,1,40,4,4
193,182,27,0,11,18,,51,28,0,16,2,1
171,181,49,1,11,18,,49,13,2,31,2,1
225,4,0,188,6,8,,48,41,0,0,5,4
225,3,0,189,6,8,,0,45,50,0,3,0
1,193,226,2,4,5,,47,0,4,45,2,0
21,54,207,141,3,5,,52,0,0,45,1,0
0,194,228,1,3,5,,2,43,50,2,1,0
227,26,1,166,3,8,,51,10,1,34,1,1
224,130,6,66,1,4,,5,43,47,2,1,0
228,194,0,0,3,6,,1,43,51,2,1,0
227,2,0,194,4,4,,1,39,51,6,1,0
225,2,1,191,5,7,,51,17,1,28,1,0
222,0,4,186,5,14,,51,10,1,35,1,0
218,43,10,144,3,13,,51,20,1,25,1,0
225,187,2,0,4,13,,1,45,51,0,1,0
168,135,45,46,18,18,,0,40,52,5,1,0
213,181,0,0,18,18,,33,45,19,0,1,0
1,0,221,194,9,6,,52,42,0,3,1,0
216,195,3,0,12,5,,0,45,52,0,1,0
161,129,55,63,15,7,,0,45,52,0,1,0
227,2,0,196,4,2,,0,45,52,0,1,0
214,200,9,0,8,0,,52,45,0,0,1,0
156,137,63,56,12,6,,0,45,52,0,1,0
164,2,60,197,7,1,,51,3,1,42,1,0
87,199,138,0,6,1,,2,42,50,3,1,0
192,178,28,0,11,22,,47,0,5,45,1,0
229,163,0,28,2,8,,22,45,30,0,1,0
224,197,5,0,2,3,,39,0,13,45,1,0
225,2,1,187,5,11,,8,45,44,0,1,0
210,2,16,181,5,17,,32,0,20,45,1,0
0,188,228,3,3,9,,17,45,35,0,1,0
214,53,14,137,3,10,,47,26,5,19,1,0
208,189,17,0,6,11,,0,39,52,6,1,0
231,2,0,195,0,3,,5,43,47,2,1,0
229,4,0,194,2,2,,28,39,24,6,1,0
162,133,61,59,8,7,,35,45,17,0,1,0
1,198,230,0,0,2,,2,44,50,1,1,0
228,18,3,178,0,4,,0,45,52,0,1,0
0,1,228,193,3,6,,0,18,52,27,1,0
224,1,0,191,7,8,,52,45,0,0,1,0
225,1,0,191,6,8,,0,45,52,0,1,0
165,124,57,68,9,7,,4,42,48,3,1,0
1,191,227,0,3,9,,1,45,51,0,1,0
0,184,227,6,4,10,,1,45,51,0,1,0
213,2,14,188,5,10,,0,43,52,2,1,0
155,129,62,41,14,29,,3,44,49,1,1,0
219,169,0,0,12,31,,0,43,52,2,1,0
216,170,0,0,15,30,,1,42,51,3,1,0
223,0,0,189,8,11,,1,45,51,0,1,0
224,0,0,189,7,11,,52,40,0,5,1,0
155,117,66,67,10,15,,2,45,50,0,1,0
211,61,10,126,10,13,,0,26,51,19,2,0
0,154,226,35,5,11,,1,43,50,2,2,0
0,105,225,80,6,14,,1,45,51,0,1,0
0,84,225,102,6,13,,0,25,52,20,1,0
104,0,118,14,9,15,,1,37,51,8,1,0
0,165,225,28,6,7,,6,44,46,1,1,0
221,0,10,197,1,3,,0,43,52,2,1,0
203,115,27,82,1,3,,16,45,36,0,1,0
219,181,1,3,11,16,,6,45,46,0,1,0
101,182,122,0,8,18,,8,45,44,0,1,0
155,139,64,40,12,20,,48,0,4,45,1,0
230,6,0,190,1,4,,52,10,0,34,1,1
0,189,227,5,4,6,,51,34,0,11,2,0
2,192,224,2,5,6,,50,16,2,29,1,0
228,188,0,7,3,5,,50,40,0,0,3,5
226,0,0,192,5,8,,48,4,2,5,41,0
226,0,0,194,5,7,,9,43,0,44,2,2
148,124,73,63,10,13,,53,3,2,0,42,0
0,197,228,1,3,3,,13,44,0,40,1,2
219,0,10,199,2,2,,38,1,1,15,44,1
151,126,64,67,16,7,,9,45,2,44,0,0
222,186,0,0,9,15,,43,1,2,10,44,0
220,187,0,0,11,14,,22,45,28,0,3,0
215,35,7,152,9,14,,50,43,0,2,3,0
222,194,0,0,9,7,,49,43,0,0,4,2
207,195,16,0,8,6,,46,26,3,17,4,2
210,196,11,0,10,5,,50,44,0,0,3,1
219,8,4,188,8,5,,50,44,0,0,3,1
225,193,0,0,6,8,,45,27,5,18,3,0
223,195,0,0,8,6,,46,15,5,25,2,5
219,192,3,0,9,9,,46,22,5,19,2,4
221,190,0,0,10,11,,46,21,5,22,2,2
225,188,0,0,6,13,,51,0,0,45,2,0
219,190,5,0,7,11,,11,44,41,1,1,0
1,188,224,0,6,13,,52,13,0,32,1,0
196,92,29,98,6,11,,50,43,0,0,3,2
221,188,0,0,10,13,,52,43,0,0,1,2
221,188,0,0,10,13,,8,44,42,0,3,1
153,132,67,51,11,17,,50,4,0,40,3,1
227,1,0,192,4,8,,5,37,45,7,3,1
225,0,1,188,5,13,,4,30,47,13,2,2
227,193,0,0,4,8,,49,9,1,35,3,1
216,15,0,177,15,9,,50,31,1,13,2,1
202,159,12,29,17,13,,51,3,0,41,2,1
47,40,164,148,20,13,,51,38,0,7,2,0
0,186,209,2,22,13,,53,42,0,0,0,3
208,186,0,1,23,14,,49,39,0,0,4,6
213,185,2,0,16,16,,51,34,0,8,2,3
212,178,2,0,17,23,,0,40,53,3,0,2
216,185,2,0,13,16,,24,0,28,42,1,3
229,1,0,198,2,2,,0,36,49,9,4,0
228,0,0,199,3,2,,52,45,0,0,1,0
165,128,62,69,4,3,,20,25,32,20,1,0
221,163,5,37,5,1,,24,1,28,43,1,1
1,199,227,0,3,2,,51,44,0,0,2,1
220,3,8,196,3,2,,30,13,20,31,3,1
227,0,0,199,4,2,,50,42,0,0,3,3
226,0,0,199,5,2,,36,22,14,18,3,5
229,111,0,84,2,6,,46,24,3,15,3,6
2,198,227,0,2,3,,51,22,0,22,1,1
221,0,8,199,2,2,,1,39,50,5,1,1
147,117,70,70,14,13,,50,0,1,44,1,1
222,184,2,0,7,17,,45,2,1,37,6,7
223,190,0,0,8,11,,46,18,2,25,4,3
225,186,0,0,6,15,,52,28,0,15,0,3
225,190,1,0,5,11,,52,30,0,15,0,1
229,187,0,6,3,8,,50,5,2,2,41,0
227,193,3,0,2,8,,52,46,2,0,0,0
227,1,0,193,5,7,,50,37,0,0,2,9
224,2,0,192,8,7,,2,37,47,5,3,4
154,123,66,66,12,11,,1,35,49,7,2,4
0,190,226,4,6,7,,50,42,0,0,2,4
227,2,0,195,5,4,,52,7,0,37,0,2
221,1,0,181,11,19,,49,21,3,23,0,2
221,2,0,180,11,19,,1,38,51,6,0,2
219,14,0,163,13,24,,52,35,0,9,0,2
1,164,218,15,13,22,,48,44,3,0,1,0
1,178,216,1,15,22,,48,4,2,41,2,1
218,17,0,161,14,23,,50,15,0,27,2,4
207,183,3,0,22,18,,51,45,0,0,1,1
206,184,3,0,23,17,,52,14,0,30,0,2
136,126,74,51,22,23,,52,15,0,29,0,2
222,194,0,0,10,7,,52,13,0,31,0,2
220,195,0,0,12,6,,52,46,2,0,0,0
219,194,0,0,13,7,,52,14,2,0,32,0
222,1,0,194,10,6,,52,14,2,0,32,0
219,9,0,185,13,7,,52,14,2,0,32,0
221,25,0,168,11,8,,50,37,0,0,2,9
0,146,222,47,10,8,,51,1,0,41,1,4
3,174,219,20,10,7,,50,0,1,2,46,1
0,176,222,17,10,8,,50,17,0,28,2,1
0,177,221,17,11,7,,52,17,2,0,29,0
0,182,222,12,10,7,,52,12,2,0,34,0
0,182,222,12,10,7,,52,28,2,0,18,0
2,183,220,11,10,7,,51,29,0,17,1,0
3,159,219,36,10,6,,52,6,2,0,40,0
0,194,223,0,9,7,,52,0,2,0,46,0
222,19,0,175,9,7,,51,16,2,1,30,0
224,0,0,195,8,6,,51,6,1,39,0,1
224,0,0,193,8,8,,52,19,0,26,0,1
0,194,222,1,10,6,,51,46,2,1,0,0
217,4,8,190,8,7,,45,0,6,46,1,0
222,179,0,0,10,22,,33,0,18,46,1,0
222,168,0,12,10,21,,35,45,16,1,1,0
229,0,0,193,3,8,,52,44,0,1,0,1
227,0,1,193,4,8,,51,3,0,42,1,1
139,12,89,180,4,9,,49,42,0,1,2,0
181,67,47,125,4,9,,51,11,0,34,1,1
1,169,229,25,2,7,,51,1,0,44,1,1
192,0,36,195,4,6,,51,12,0,33,1,1
2,196,227,0,3,5,,51,1,0,44,1,1
229,192,0,4,3,5,,51,16,0,29,1,1
0,167,230,27,2,7,,50,7,0,38,2,1
1,179,229,16,2,6,,51,33,0,13,1,0
56,100,173,95,3,6,,52,6,2,0,40,0
6,180,223,13,3,8,,50,1,0,42,2,3
8,182,221,11,4,8,,51,44,0,0,1,2
11,69,218,127,4,5,,51,1,0,43,1,2
1,164,228,33,4,4,,51,34,0,10,1,2
161,19,68,179,4,3,,49,22,1,23,2,1
29,21,199,174,5,5,,51,11,0,35,1,0
94,187,135,11,4,3,,52,43,0,2,0,1
216,18,13,179,4,4,,50,46,0,0,2,0
33,113,196,84,4,4,,52,46,2,0,0,0
36,112,193,85,4,4,,52,25,0,19,0,2
91,196,136,0,6,5,,52,14,0,30,0,2
221,3,6,195,6,3,,52,0,0,44,0,2
189,7,36,189,8,5,,52,0,0,44,0,2
1,195,226,0,6,6,,52,0,2,0,46,0
220,25,10,172,3,4,,52,0,2,0,46,0
222,182,0,0,11,19,,52,0,2,0,46,0
224,185,0,0,9,16,,51,43,0,0,1,3
