Republican Yea,Democrat Yea,Republican Nay,Democrat Nay,Republican Not Voting,Democrat Not Voting,,Senate Republican Yea,Senate Democrat Yea,Senate Republican Nay,Senate Democrat Nay,Senate Republican Not Voting,Senate Democrat Not Voting
NA,NA,NA,NA,NA,NA,,,,,,,
216,181,0,1,11,22,,45,3,5,39,1,6
214,182,0,0,13,22,,45,16,3,28,3,4
209,179,0,0,18,25,,44,21,4,23,3,4
213,180,0,0,15,24,,25,41,24,1,2,6
182,148,1,0,44,56,,41,44,9,0,1,4
183,149,0,0,44,55,,50,44,0,0,1,4
0,157,193,11,0,1,,39,35,6,5,6,8
1,168,197,1,0,1,,51,44,0,0,0,4
195,70,0,98,0,1,,41,15,10,31,0,2
6,139,182,21,0,1,,43,42,8,3,0,3
217,179,0,0,10,25,,7,10,42,35,2,3
215,182,0,0,12,22,,30,41,20,4,1,3
217,176,0,0,0,5,,18,2,33,44,0,2
3,178,218,13,6,13,,34,41,17,4,0,3
2,177,219,14,6,13,,47,1,3,41,1,6
3,179,219,13,5,12,,50,24,1,21,0,3
39,187,179,0,10,17,,25,44,25,2,1,2
219,182,1,0,7,22,,12,45,38,1,1,2
217,184,0,0,10,20,,45,14,4,32,2,2
218,185,0,0,9,19,,3,36,46,10,2,2
225,1,1,195,1,8,,44,16,4,29,3,3
221,180,4,15,2,9,,3,34,45,11,3,3
224,196,0,0,3,8,,4,24,43,15,4,9
211,169,10,22,6,13,,10,41,41,6,0,1
180,186,39,1,8,18,,8,44,43,3,0,1
209,187,0,0,18,18,,50,40,1,7,0,1
183,198,42,1,2,6,,50,34,0,12,1,2
223,198,0,0,4,7,,1,33,49,13,1,2
22,163,197,32,8,10,,45,11,5,35,1,2
207,47,13,149,7,9,,3,5,48,41,0,2
208,174,0,0,19,31,,51,41,0,0,0,7
209,171,0,0,18,34,,25,44,26,0,0,4
214,187,1,1,12,17,,1,44,50,1,0,3
213,190,1,0,13,15,,1,42,50,3,0,3
217,190,0,0,10,15,,0,45,51,1,0,2
216,189,0,0,11,16,,1,45,50,2,0,1
210,169,4,23,13,13,,50,45,1,2,0,1
211,190,1,0,15,15,,4,46,47,1,0,1
209,192,1,0,17,13,,8,44,42,1,1,3
213,190,0,0,14,15,,0,45,50,1,1,2
215,188,0,0,12,17,,0,40,49,4,2,4
213,187,0,0,14,18,,0,40,51,4,0,4
212,186,0,0,15,19,,51,44,0,0,0,4
197,155,12,29,1,0,,0,40,51,4,0,4
211,184,0,0,16,21,,4,39,47,5,0,4
203,184,11,0,1,0,,2,29,49,15,0,4
2,174,222,19,3,12,,0,42,51,2,0,4
1,156,223,38,3,11,,0,42,50,3,1,3
0,128,220,65,7,12,,0,42,50,3,1,3
2,138,219,57,6,10,,0,39,51,6,0,3
1,164,221,29,5,12,,1,42,50,3,0,3
1,162,218,31,8,12,,0,41,51,3,0,4
221,55,1,137,5,13,,0,41,51,3,0,4
218,172,1,21,0,1,,14,37,36,7,1,4
220,197,0,0,7,8,,50,1,1,43,0,4
215,195,0,0,12,10,,28,43,23,1,0,4
209,182,0,0,18,23,,0,41,51,3,0,4
211,182,0,0,16,23,,50,1,1,43,0,4
212,185,0,0,15,20,,49,43,0,0,2,5
