Democrat Yea,Republican Yea,Democrat Nay,Republican Nay,Democrat Not Voting,Republican Not Voting,,Senate Republican Yea,Senate Democrat Yea,Senate Republican Nay,Senate Democrat Nay,Senate Republican Not Voting,Senate Democrat Not Voting
NA,NA,NA,NA,NA,NA,,46,44,0,2,3,3
222,0,1,190,8,9,,47,12,0,35,2,2
224,189,0,0,8,10,,44,4,1,43,4,2
221,185,0,2,10,12,,0,47,45,0,4,2
226,8,0,183,9,9,,37,42,4,0,8,7
226,138,0,53,9,9,,31,41,12,0,6,8
227,189,0,0,8,11,,0,48,46,0,3,1
3,185,224,5,8,10,,8,48,40,1,1,0
8,189,216,1,7,9,,43,46,6,0,0,3
207,7,16,183,8,9,,33,46,16,0,0,3
182,187,42,4,7,8,,0,39,48,7,1,3
223,165,0,20,12,15,,0,37,48,8,1,4
1,180,223,4,11,16,,9,47,39,1,1,1
1,185,221,0,13,15,,0,34,48,14,1,1
0,136,220,48,15,16,,0,30,48,18,1,1
4,165,220,20,11,15,,0,36,47,12,2,1
190,182,28,0,13,17,,1,28,47,20,1,1
218,53,0,130,13,16,,1,39,47,9,1,1
205,186,0,0,26,13,,48,20,0,28,1,1
204,187,0,0,27,12,,48,19,0,28,1,2
217,0,1,194,13,5,,44,46,4,0,1,3
218,42,1,151,13,6,,5,45,43,1,1,3
202,186,0,0,29,13,,47,46,0,0,2,3
202,186,0,0,29,13,,47,46,0,0,2,3
216,169,10,25,5,5,,28,0,19,46,2,3
219,190,1,0,10,6,,21,0,26,45,2,4
11,172,205,0,15,27,,47,45,0,0,2,4
213,48,0,122,18,29,,41,42,2,0,6,7
203,170,0,0,28,28,,44,32,0,11,5,6
198,169,0,0,33,29,,43,9,3,37,3,3
202,169,0,0,29,29,,30,26,16,20,3,3
204,0,7,189,20,9,,36,46,10,0,3,3
214,0,2,188,15,10,,43,26,3,20,3,3
217,188,0,1,14,9,,42,45,3,0,4,4
217,167,0,23,14,8,,1,45,45,1,3,3
211,49,10,143,14,7,,41,43,1,0,7,6
197,25,24,167,14,7,,9,46,39,0,1,3
170,9,52,184,13,6,,48,46,0,0,1,3
7,187,212,4,12,7,,3,46,45,0,1,3
219,135,0,58,12,5,,8,46,39,0,2,3
208,180,0,0,23,18,,33,44,13,0,3,5
215,165,6,28,11,5,,49,48,2,0,1,0
196,161,0,0,34,37,,47,0,2,48,0,1
197,164,0,0,33,34,,3,48,46,0,0,1
194,163,0,0,36,35,,47,2,1,47,1,0
0,3,199,167,31,28,,0,47,2,49,2,0
1,6,194,170,35,22,,49,1,0,1,2,0
