Democrat Yea,Republican Yea,Democrat Nay,Republican Nay,Democrat Not Voting,Republican Not Voting,,Senate Democrat Yea,Senate Republican Yea,Senate Democrat Nay,Senate Republican Nay,Senate Democrat Not Voting,Senate Republican Not Voting
NA,NA,NA,NA,NA,NA,,54,39,0,0,3,4
235,154,0,0,31,11,,55,41,0,0,2,2
236,155,1,0,29,10,,54,41,0,0,3,2
251,150,0,8,15,7,,12,26,42,13,3,4
251,0,1,160,14,5,,3,33,51,6,3,4
251,1,0,159,15,5,,40,15,14,23,3,5
248,0,1,159,17,6,,49,6,6,37,2,0
247,0,0,159,19,6,,45,0,10,43,2,0
249,0,1,159,16,6,,55,37,0,6,2,0
245,0,0,157,21,8,,20,13,35,29,2,0
225,0,0,150,41,15,,54,42,0,0,3,1
0,157,247,0,19,8,,54,41,0,0,3,1
215,0,34,157,17,8,,7,28,42,12,7,1
251,155,0,3,15,7,,46,27,4,14,7,1
251,146,0,13,15,6,,53,37,0,5,4,1
126,44,126,114,14,7,,54,34,0,8,3,1
252,126,1,30,13,9,,54,40,0,2,3,1
255,156,0,0,11,9,,22,35,32,7,3,1
253,156,0,0,12,9,,54,42,0,0,3,1
252,156,0,0,14,9,,21,31,32,11,3,1
253,155,0,0,13,10,,37,23,16,19,4,1
237,44,7,107,22,13,,30,11,25,32,2,0
254,0,0,156,12,9,,22,36,33,7,2,0
243,0,16,160,7,5,,24,29,31,14,2,0
1,0,262,162,3,3,,17,34,38,9,2,0
240,44,5,110,21,10,,22,41,33,2,2,0
NA,NA,NA,NA,NA,NA,,29,35,26,8,2,0
14,151,249,13,3,1,,53,41,2,2,2,0
NA,NA,NA,NA,NA,NA,,51,40,1,2,5,1
218,1,46,163,3,1,,52,41,0,1,5,1
218,1,46,162,3,2,,50,9,5,34,2,0
93,1,150,153,23,11,,55,43,0,0,2,0
102,137,132,11,32,17,,8,36,47,7,2,0
197,18,34,130,35,17,,53,43,1,0,3,0
213,62,40,93,13,10,,54,4,0,39,3,0
246,0,11,160,9,5,,51,36,0,7,6,0
237,0,21,160,8,5,,52,30,0,6,5,7
3,57,243,98,20,10,,20,41,34,2,3,0
0,42,249,118,17,5,,1,36,53,7,3,0
