Democrat Yea,Republican Yea,Democrat Nay,Republican Nay,Democrat Not Voting,Republican Not Voting,,Senate Democrat Yea,Senate Republican Yea,Senate Democrat Nay,Senate Republican Nay,Senate Democrat Not Voting,Senate Republican Not Voting
226,15,5,155,23,5,,51,6,3,36,3,1
22,170,221,0,11,5,,46,6,8,35,3,2
243,0,1,167,10,8,,35,0,18,42,4,1
241,0,3,167,10,8,,47,0,6,39,4,4
2,166,244,0,8,9,,35,7,18,32,4,4
234,2,12,165,8,8,,24,2,21,32,12,9
226,11,6,149,22,15,,32,0,22,38,3,5
NA,NA,NA,NA,NA,NA,,15,1,39,37,3,5
222,20,4,133,28,22,,46,0,6,38,5,5
243,166,0,0,12,9,,48,37,5,2,4,4
234,79,8,85,13,11,,4,39,47,0,6,4
236,19,4,149,15,7,,47,0,4,39,6,4
251,168,0,0,4,7,,47,0,6,39,4,4
245,117,6,51,4,7,,53,0,1,39,3,4
231,69,15,99,9,7,,47,0,7,37,3,6
234,18,5,144,16,13,,53,39,0,0,4,4
210,2,42,165,4,8,,6,38,48,1,3,4
87,170,156,0,17,5,,50,1,4,38,3,4
33,165,214,4,14,6,,53,0,2,39,2,4
224,23,21,146,16,6,,52,0,2,43,2,1
224,24,17,145,15,6,,52,1,3,41,1,2
12,170,232,0,12,5,,51,2,5,40,0,2
174,84,70,86,12,5,,53,38,2,5,1,1
230,24,6,140,1,0,,52,1,4,41,0,2
248,4,2,166,5,6,,20,12,36,31,0,1
3,167,249,3,3,6,,47,5,9,38,0,1
238,20,14,150,3,6,,55,7,1,36,0,1
NA,NA,NA,NA,NA,NA,,27,5,29,37,0,2
32,169,219,1,9,6,,3,36,53,6,0,2
5,165,242,5,13,6,,48,5,8,36,0,3
228,33,9,131,18,12,,53,7,3,35,0,2
9,171,236,2,15,3,,56,39,0,0,0,5
8,172,235,1,17,3,,4,35,51,8,1,1
24,170,221,2,15,4,,45,28,9,15,2,1
19,162,225,5,16,9,,39,8,16,35,1,1
9,167,231,2,20,7,,33,1,22,42,1,1
NA,NA,NA,NA,NA,NA,,51,3,4,40,1,1
20,167,220,1,20,8,,1,42,54,1,1,1
31,168,213,3,16,5,,51,42,4,1,1,1
36,172,211,1,13,3,,50,0,5,43,1,1
31,172,223,1,6,3,,54,0,1,42,1,2
22,170,227,0,11,6,,50,1,5,41,1,2
17,171,233,0,10,5,,17,2,38,41,1,1
95,168,152,3,13,5,,13,43,42,0,1,1
121,167,123,3,11,6,,43,3,11,40,1,1
230,12,9,158,7,0,,5,43,50,0,1,1
1,127,242,45,12,4,,42,10,12,33,2,1
238,78,7,94,10,4,,12,41,43,2,1,1
180,128,0,0,75,48,,16,37,39,6,1,1
178,128,1,2,76,46,,54,1,1,42,1,1
230,59,16,114,9,3,,14,1,41,42,1,1
10,169,242,5,8,2,,36,2,19,41,1,1
3,124,250,48,7,4,,14,6,41,37,1,1
251,173,0,0,9,3,,26,40,29,3,1,1
245,173,0,0,10,3,,30,39,25,4,1,1
239,3,9,170,7,3,,55,0,0,43,1,1
238,17,6,147,0,2,,54,3,1,40,1,1
249,1,3,171,3,4,,1,42,54,1,1,1
141,46,116,128,3,2,,3,43,52,0,1,1
0,165,257,9,3,2,,0,0,55,43,1,1
202,98,48,76,5,2,,15,43,40,0,1,1
9,167,246,4,5,5,,20,39,35,4,1,1
20,155,229,16,11,5,,49,0,6,43,1,1
45,164,207,10,9,2,,53,23,0,18,3,3
7,143,247,31,6,2,,39,37,12,4,5,3
248,38,4,136,3,2,,49,39,6,1,1,4
229,15,5,155,0,1,,51,41,4,0,1,3
251,0,3,175,1,1,,54,8,1,33,1,3
235,0,19,175,1,1,,54,8,1,32,1,4
NA,NA,NA,NA,NA,NA,,56,0,0,43,0,1
6,132,254,40,1,4,,49,2,7,41,0,1
218,0,38,175,0,1,,42,1,14,42,0,1
219,20,6,138,0,1,,55,3,1,40,0,1
232,23,5,139,19,14,,55,13,1,30,0,1
243,165,1,3,12,8,,1,37,54,5,1,2
221,18,7,139,28,19,,54,2,1,41,1,1
239,0,5,172,12,4,,5,41,51,2,0,1
225,0,17,168,14,8,,52,3,4,40,0,1
0,31,229,131,27,14,,44,4,12,40,0,0
NA,NA,NA,NA,NA,NA,,55,21,1,23,0,0
248,166,2,0,0,6,,54,21,2,23,0,0
246,171,4,0,11,5,,55,9,1,34,0,1
212,170,35,1,14,5,,1,41,55,2,0,1
180,159,64,12,17,5,,32,16,20,27,4,1
231,166,3,0,22,10,,48,37,3,4,5,3
222,165,12,0,22,11,,20,23,36,21,0,0
204,167,30,1,22,8,,39,31,17,13,0,0
177,154,60,11,19,11,,46,17,10,26,0,1
34,168,208,0,15,8,,53,37,3,7,0,0
217,6,24,163,15,7,,35,8,19,36,2,0
206,98,4,57,46,21,,37,1,18,43,1,0
213,151,0,2,43,23,,52,18,3,26,1,0
217,19,6,145,33,12,,51,41,4,3,1,0
243,0,5,171,8,5,,38,37,18,7,0,0
53,41,206,132,2,3,,36,41,20,3,0,0
3,55,254,118,4,3,,17,6,37,37,2,1
221,17,33,157,2,2,,56,3,0,41,0,0
226,19,6,143,1,0,,54,33,2,11,0,0
220,73,31,98,6,5,,52,13,3,31,1,0
242,3,15,171,5,2,,28,2,27,41,1,1
251,169,1,1,10,6,,2,39,51,1,3,4
27,91,233,83,2,2,,2,33,49,4,5,7
80,121,179,53,3,2,,49,6,0,31,7,7
250,175,0,0,7,1,,51,7,4,37,1,0
52,139,203,32,7,5,,55,41,0,3,1,0
247,15,3,157,7,4,,54,18,1,26,1,0
NA,NA,NA,NA,NA,NA,,54,22,1,22,1,0
254,168,0,0,8,8,,12,36,44,7,0,1
252,172,0,0,10,4,,54,19,2,25,0,0
46,93,210,79,6,4,,29,21,27,23,0,0
61,148,193,23,8,5,,25,21,31,23,0,0
249,168,0,0,8,8,,56,30,0,14,0,0
202,107,47,63,8,6,,50,18,6,26,0,0
179,119,59,45,24,12,,45,9,10,35,1,0
192,141,41,24,29,11,,50,18,5,26,1,0
3,166,233,1,26,9,,5,30,50,14,1,0
9,162,219,3,34,11,,1,43,55,1,0,0
185,154,40,10,37,12,,0,43,56,1,0,0
134,113,86,41,1,0,,5,38,51,6,0,0
145,150,102,23,10,3,,50,0,1,6,44,0
36,148,209,25,17,3,,52,13,4,30,0,1
130,112,119,62,1,0,,51,6,4,36,1,2
244,173,2,1,11,2,,30,3,25,38,1,3
131,115,113,59,1,0,,44,6,12,36,0,2
