Democrat Yea,Republican Yea,Democrat Nay,Republican Nay,Democrat Not Voting,Republican Not Voting,,Senate Republican Yea,Senate Democrat Yea,Senate Republican Nay,Senate Democrat Nay,Senate Republican Not Voting,Senate Democrat Not Voting
230,197,0,0,2,4,,46,46,3,0,0,3
230,138,0,59,2,4,,0,39,39,1,10,9
225,44,1,149,6,8,,2,46,45,0,2,3
220,9,2,177,10,15,,6,47,41,1,2,1
0,140,230,50,6,12,,44,47,3,0,2,2
172,187,54,2,6,12,,14,43,33,5,2,1
224,79,0,108,8,14,,48,47,0,0,1,2
211,184,0,1,21,16,,47,46,0,0,2,3
210,185,0,0,22,16,,47,47,0,0,2,2
208,183,0,0,24,18,,48,47,0,0,1,2
223,186,0,1,8,11,,14,46,34,1,1,2
225,188,0,0,7,13,,11,42,37,5,1,2
228,191,0,1,4,9,,24,0,24,48,1,1
228,162,0,34,4,5,,20,2,26,43,3,4
229,104,0,93,3,4,,25,2,21,44,3,3
228,80,0,117,4,4,,37,1,10,46,2,2
224,0,1,196,7,5,,44,37,3,10,2,2
223,0,0,193,9,8,,39,47,8,0,2,2
217,48,11,146,4,6,,2,48,45,0,2,1
1,141,219,39,12,21,,41,0,5,46,3,3
230,20,0,178,6,4,,46,46,0,0,3,3
0,159,232,39,4,4,,16,45,28,0,5,4
229,23,0,173,3,5,,33,15,11,28,5,6
229,197,0,0,3,4,,40,41,4,3,5,5
229,102,0,94,3,5,,45,44,0,0,4,5
222,1,0,190,10,10,,5,39,39,8,5,2
115,194,114,0,3,7,,18,44,26,4,5,1
228,119,0,73,4,9,,3,42,41,6,5,1
216,183,0,0,16,18,,44,48,0,0,5,1
216,174,0,10,16,17,,43,46,0,0,6,3
213,181,0,1,19,19,,46,8,0,39,3,2
226,2,0,190,6,9,,3,46,43,1,3,2
226,195,0,0,6,6,,44,0,2,47,3,2
226,194,1,0,5,7,,40,47,7,0,2,2
209,56,14,135,9,8,,11,1,32,43,6,5
4,158,227,39,5,5,,11,0,32,45,6,4
2,196,230,2,4,4,,9,11,35,34,5,4
232,14,0,184,4,4,,10,39,35,7,4,3
229,36,0,160,3,5,,0,28,47,19,2,2
1,184,233,14,2,4,,44,7,3,40,2,2
1,97,232,101,3,4,,47,39,0,8,2,2
229,13,0,184,3,4,,43,46,4,0,2,3
55,194,175,1,2,5,,45,47,0,1,4,1
230,72,0,125,2,4,,2,48,40,0,7,1
228,34,0,162,4,5,,30,38,18,4,1,7
229,194,0,0,3,7,,2,28,46,17,1,4
229,195,0,0,3,6,,27,46,21,2,1,1
224,194,0,0,8,7,,37,48,9,0,3,1
223,192,0,0,9,9,,39,9,8,39,2,1
223,190,0,1,9,10,,9,38,38,10,2,1
228,0,1,197,3,4,,13,44,32,3,4,2
225,1,0,195,7,5,,20,9,26,38,3,2
228,196,0,0,4,5,,42,37,3,10,4,2
224,1,5,196,3,4,,8,23,38,23,3,2
228,195,0,0,4,6,,46,24,0,22,3,2
203,53,20,140,9,6,,0,41,45,5,4,2
206,57,14,132,12,10,,45,20,0,26,4,2
216,2,14,198,2,1,,48,16,0,32,1,0
216,143,0,48,16,10,,9,37,39,10,1,1
215,153,2,37,15,11,,3,40,45,8,1,0
216,113,0,78,16,10,,35,4,13,44,1,0
222,0,2,197,8,4,,11,46,35,2,3,0
223,0,1,198,8,3,,47,8,0,40,2,0
222,12,1,187,9,2,,14,42,33,6,2,0
221,196,0,2,11,3,,46,5,1,43,2,0
224,0,3,196,8,6,,5,46,42,2,2,0
226,11,1,187,9,4,,42,0,5,48,2,0
3,127,227,72,6,3,,7,35,40,13,2,0
5,93,225,107,6,2,,45,11,2,37,2,0
222,0,3,194,6,3,,17,47,30,1,2,0
225,9,1,183,6,5,,12,36,35,12,2,0
105,199,121,0,6,2,,39,1,8,47,2,0
225,74,0,124,6,3,,37,11,10,37,2,0
225,0,1,195,6,6,,11,31,36,16,2,1
229,0,0,197,3,4,,32,0,15,47,2,1
226,17,0,179,6,5,,33,0,13,47,3,1
227,45,0,150,5,5,,44,26,0,13,5,9
233,201,0,0,3,1,,37,7,11,38,1,3
229,197,0,0,3,4,,45,7,0,37,0,1
226,200,0,0,6,1,,44,45,0,0,5,3
115,0,113,199,8,3,,46,15,0,30,3,3
81,0,142,198,12,4,,0,43,48,2,1,3
1,159,228,40,7,3,,47,7,0,39,2,2
216,0,12,198,4,3,,6,37,37,5,6,6
210,4,9,183,13,14,,0,39,47,6,2,3
221,186,0,7,11,8,,29,3,18,42,2,3
220,173,0,22,12,6,,44,24,2,21,3,3
219,195,0,0,10,5,,30,5,16,40,3,3
221,193,0,2,11,6,,1,36,44,9,4,3
214,192,0,0,18,9,,11,24,34,21,4,3
226,0,1,198,5,3,,46,10,0,34,3,4
226,1,0,195,6,5,,8,22,39,23,2,3
228,193,0,0,4,8,,16,29,31,16,2,3
0,178,229,17,7,7,,1,37,46,7,2,4
1,173,229,23,6,6,,45,10,2,34,2,4
8,196,217,1,7,4,,42,17,5,27,2,4
227,40,0,158,5,3,,41,19,6,26,2,3
223,193,0,0,9,6,,43,20,4,23,2,5
219,192,0,0,13,9,,1,48,48,0,0,1
219,0,3,193,10,8,,24,39,25,9,0,1
219,0,4,192,9,9,,8,43,40,5,1,1
0,193,227,0,5,8,,41,36,7,11,1,2
219,22,6,171,7,7,,16,39,32,8,1,2
213,3,14,189,5,9,,48,8,0,39,1,2
0,194,226,0,6,7,,47,8,0,39,2,2
227,167,0,25,5,9,,29,15,19,32,1,2
214,1,9,190,8,10,,12,33,37,15,0,1
2,175,219,3,15,24,,49,43,0,4,0,1
0,155,221,23,15,24,,49,48,0,0,0,1
2,159,219,22,15,21,,49,48,0,0,0,1
1,163,219,17,16,22,,42,44,0,0,7,5
0,148,223,34,13,20,,37,44,4,0,8,5
