Republican Yea,Democrat Yea,Republican Nay,Democrat Nay,Republican Not Voting,Democrat Not Voting,,Senate Democrat Yea,Senate Republican Yea,Senate Democrat Nay,Senate Republican Nay,Senate Democrat Not Voting,Senate Republican Not Voting
NA,NA,NA,NA,NA,NA,,48,26,0,16,3,5
235,3,0,176,5,13,,2,42,49,1,0,4
197,95,37,83,6,14,,49,42,0,2,2,3
233,6,1,175,5,11,,7,30,44,15,0,2
214,159,1,0,26,33,,10,38,41,8,0,1
116,162,100,0,25,30,,50,29,1,17,0,1
234,176,0,1,7,14,,12,46,39,0,0,1
233,153,0,26,8,13,,7,33,44,13,0,1
218,179,16,0,7,13,,6,20,45,26,0,1
159,179,70,0,12,13,,14,46,37,0,0,1
227,181,0,0,14,11,,1,23,50,23,0,1
233,18,0,157,8,16,,27,32,24,14,0,1
1,160,236,27,4,4,,20,5,31,41,0,1
0,157,235,29,6,5,,50,44,1,2,0,1
0,164,237,23,4,4,,36,38,14,5,1,4
0,160,239,25,2,6,,51,37,0,6,0,4
0,175,236,11,5,5,,49,34,2,9,0,4
239,28,0,159,2,4,,50,38,0,5,1,4
237,72,2,115,2,4,,51,41,0,5,0,1
236,159,1,26,4,6,,50,2,0,42,1,3
236,2,1,176,4,13,,50,10,0,34,1,3
235,3,0,179,6,9,,45,14,5,30,1,3
4,180,233,3,4,8,,45,39,0,2,6,6
0,174,237,7,4,10,,48,1,3,45,0,1
4,173,231,6,6,12,,48,2,1,43,2,2
2,169,234,9,5,13,,50,43,0,2,1,2
5,168,231,12,5,11,,50,41,0,4,1,2
0,174,238,7,3,10,,3,40,48,5,0,2
2,181,237,0,2,10,,45,36,6,9,0,2
238,4,0,179,3,8,,8,44,43,1,0,2
0,177,235,3,6,11,,7,45,44,0,0,2
231,4,0,177,10,10,,51,23,0,22,0,2
224,24,12,157,5,10,,32,0,19,45,0,2
226,7,0,155,15,29,,11,45,40,0,0,2
220,161,7,0,14,30,,50,14,1,30,0,3
11,180,227,3,3,8,,0,30,50,15,1,2
1,185,237,1,3,6,,42,6,8,39,1,2
238,21,1,163,2,8,,3,38,48,7,0,2
235,4,0,181,6,7,,47,0,4,45,0,2
2,185,236,2,3,5,,0,26,51,19,0,2
1,189,238,0,2,3,,44,6,7,39,0,2
238,7,2,178,1,7,,4,24,47,21,0,2
234,6,1,183,6,3,,0,30,51,15,0,2
228,10,1,174,12,8,,0,40,51,5,0,2
46,82,193,107,2,3,,2,9,49,36,0,2
197,57,41,132,3,3,,50,24,0,20,1,3
232,185,2,0,7,7,,1,41,49,3,1,3
220,185,15,0,6,7,,50,22,0,22,1,3
176,127,44,45,20,20,,51,42,0,2,0,3
227,2,0,181,14,9,,51,38,0,6,0,3
232,3,4,182,5,7,,51,1,0,45,0,1
233,185,2,0,6,7,,51,3,0,43,0,1
235,184,0,0,6,8,,30,45,21,0,0,2
233,179,0,0,8,13,,50,12,1,34,0,1
2,171,231,18,8,3,,26,46,25,0,0,1
9,164,230,24,2,4,,51,43,0,3,0,1
3,146,235,41,3,5,,51,43,0,2,0,2
14,179,225,9,2,4,,51,43,0,2,0,2
2,158,235,30,4,4,,47,43,3,1,1,3
2,158,237,30,2,4,,44,5,7,39,0,3
7,162,232,25,2,5,,51,6,0,39,0,2
228,38,10,149,3,5,,51,43,0,1,0,3
14,174,225,11,2,7,,47,2,4,43,0,2
5,162,229,24,7,6,,49,41,0,3,2,3
12,177,220,8,9,7,,49,1,1,44,1,2
232,18,4,167,5,7,,45,27,4,18,2,2
9,159,227,27,5,6,,49,41,0,1,2,5
14,169,222,16,5,7,,0,45,51,1,0,1
230,14,5,172,6,6,,51,9,0,37,0,1
2,174,232,9,7,9,,0,30,51,16,0,1
216,21,21,166,5,5,,0,33,51,12,0,2
146,147,91,41,4,4,,41,1,10,45,0,1
224,164,2,1,15,27,,44,1,7,45,0,1
234,10,0,171,7,11,,0,29,51,17,0,1
0,170,236,11,5,11,,51,4,0,42,0,1
1,159,232,23,8,10,,0,35,51,11,0,1
21,178,214,3,6,11,,38,4,12,40,1,3
0,176,233,8,8,8,,0,35,51,11,0,1
234,69,0,114,7,9,,0,23,51,23,0,1
235,6,1,177,5,9,,41,2,9,44,1,1
236,9,0,173,5,10,,0,46,51,0,0,1
176,107,52,75,12,9,,47,13,4,33,0,1
2,176,231,8,8,8,,51,44,0,2,0,1
1,177,236,6,4,9,,50,5,0,41,1,1
1,176,234,9,6,7,,3,46,47,0,1,1
2,179,236,7,3,6,,0,37,51,9,0,1
1,173,237,13,3,6,,51,15,0,31,0,1
0,178,239,8,2,6,,50,39,0,3,1,5
1,179,236,8,4,5,,50,0,1,44,0,1
0,178,239,9,2,5,,48,36,0,1,3,10
236,10,1,174,4,7,,0,12,50,34,1,1
235,183,0,0,6,9,,0,9,50,37,1,1
219,120,16,64,6,8,,0,36,50,10,1,1
234,183,0,1,7,8,,0,37,50,9,1,1
217,145,2,0,22,47,,0,35,50,11,1,1
194,176,39,0,8,16,,50,27,0,19,1,1
228,4,0,177,13,11,,0,0,51,46,0,1
0,168,238,15,3,8,,0,41,51,5,0,1
1,181,235,2,5,8,,0,42,51,4,0,1
237,28,0,154,4,9,,0,16,51,30,0,1
235,9,1,176,5,6,,0,17,51,29,0,1
235,17,0,166,6,8,,47,21,0,24,4,2
1,163,232,13,8,15,,48,25,0,20,3,2
3,166,232,12,6,13,,50,9,0,34,1,4
0,161,237,22,4,8,,24,3,25,41,2,3
12,173,225,11,4,7,,35,9,15,35,1,3
3,172,230,9,8,10,,47,29,0,15,4,3
5,167,226,10,10,14,,26,16,24,29,1,2
1,169,232,12,8,10,,7,1,43,44,1,2
232,158,0,23,9,10,,31,45,19,0,1,2
218,153,0,0,23,38,,50,45,0,0,1,2
226,1,0,172,15,17,,0,34,50,10,0,1
227,5,0,170,14,15,,49,0,1,42,0,1
227,176,0,0,14,14,,48,38,0,1,3,8
5,173,220,6,16,11,,50,0,1,46,0,1
1,179,224,2,16,9,,51,9,0,36,0,2
223,17,3,161,15,12,,51,37,0,8,0,2
229,2,1,178,10,10,,50,8,1,30,0,9
228,5,4,178,8,7,,32,16,16,30,3,1
227,182,1,1,11,7,,50,13,0,33,1,1
