Republican Yea,Democrat Yea,Republican Nay,Democrat Nay,Republican Not Voting,Democrat Not Voting,,Senate Democrat Yea,Senate Republican Yea,Senate Democrat Nay,Senate Republican Nay,Senate Democrat Not Voting,Senate Republican Not Voting
NA,NA,NA,NA,NA,NA,,45,11,0,26,8,8
220,185,0,0,11,15,,52,6,0,37,1,2
202,186,18,0,12,14,,1,41,51,1,1,3
221,185,0,0,11,15,,51,0,0,41,2,4
226,0,0,191,6,9,,51,1,0,40,2,4
222,1,0,186,10,13,,51,2,0,38,0,1
1,188,226,2,5,10,,53,0,0,43,0,2
2,188,225,2,5,10,,0,45,0,53,0,2
0,188,225,0,7,12,,50,0,2,3,45,0
220,5,4,184,8,11,,52,1,2,1,44,0
224,67,0,122,8,11,,53,31,2,0,14,0
219,177,0,0,13,23,,53,17,0,26,0,2
211,176,7,0,14,24,,53,17,0,26,0,2
228,194,0,0,4,6,,52,32,0,13,1,0
228,189,0,4,4,7,,53,9,0,35,0,1
143,131,82,56,5,12,,0,34,52,11,1,0
227,191,0,0,5,9,,2,22,50,23,1,0
227,193,0,0,5,7,,4,44,48,1,1,0
228,0,0,195,4,5,,51,14,1,31,1,0
227,3,0,191,5,6,,46,24,3,19,4,2
166,193,64,3,3,4,,44,22,2,9,23,0
0,186,224,2,8,12,,52,44,0,0,1,1
226,33,0,154,6,13,,52,4,1,39,0,2
215,179,0,0,16,21,,52,1,1,42,0,2
187,180,27,0,17,20,,52,42,0,0,1,0
222,0,0,194,9,6,,52,40,0,0,0,5
222,2,0,192,9,6,,53,35,0,8,0,2
143,117,73,69,14,12,,53,42,0,1,0,2
0,192,221,0,10,7,,53,37,0,6,0,2
221,6,1,187,8,7,,52,44,0,0,1,1
162,89,63,103,6,8,,52,44,0,0,1,1
209,182,2,0,20,18,,52,43,0,0,1,2
209,181,0,0,22,19,,53,12,0,31,0,2
225,0,1,192,5,8,,53,0,0,43,0,2
226,8,0,185,5,7,,52,41,1,2,0,2
224,2,2,194,5,4,,51,2,0,37,0,1
226,3,0,190,5,7,,52,37,0,2,1,6
5,180,221,16,5,4,,52,4,0,34,0,1
0,181,227,15,4,4,,52,41,0,4,1,0
2,185,221,10,8,5,,51,2,0,42,0,1
227,41,0,154,4,5,,49,39,0,5,4,1
0,179,225,14,6,7,,52,2,0,42,0,1
1,192,223,5,7,3,,51,38,0,7,2,0
1,193,222,4,8,3,,52,45,0,0,1,0
2,192,222,5,7,3,,0,44,50,0,3,1
0,189,226,5,5,6,,52,2,0,41,1,2
1,192,225,5,5,3,,52,43,0,0,1,2
1,191,225,6,5,3,,45,0,8,44,0,1
0,191,226,5,5,4,,53,2,0,41,0,1
222,7,2,189,7,4,,52,44,0,0,1,1
1,189,219,5,11,6,,53,7,0,37,0,1
215,3,7,191,9,6,,53,44,0,0,0,1
0,194,222,0,9,6,,53,4,2,0,41,0
214,6,6,188,11,6,,53,45,2,0,0,0
192,173,21,0,18,27,,53,2,2,0,43,0
208,173,2,0,21,27,,52,4,0,41,1,0
128,113,78,45,24,42,,50,3,2,3,42,0
222,0,4,191,5,9,,50,6,2,3,39,0
223,0,2,191,5,9,,43,11,1,10,34,1
206,120,19,71,6,8,,53,45,2,0,0,0
28,193,199,2,5,5,,51,9,0,34,2,2
219,193,4,0,8,7,,52,43,0,0,1,2
220,190,0,0,11,9,,51,2,0,43,2,0
200,95,20,94,11,10,,52,2,0,42,1,1
224,0,0,192,7,7,,52,2,0,43,1,0
226,5,0,185,5,9,,52,2,0,42,1,1
226,127,0,65,5,7,,52,44,0,0,1,1
0,191,229,1,2,7,,52,44,0,0,1,1
229,14,0,176,2,9,,51,44,0,0,2,1
1,176,228,13,2,10,,52,44,0,0,1,1
223,26,0,162,8,11,,51,7,0,37,2,1
2,179,224,11,5,9,,52,44,0,0,1,1
0,180,224,8,7,11,,53,38,0,6,0,1
1,178,225,10,5,11,,53,43,0,0,0,2
2,181,222,7,7,11,,53,45,2,0,0,0
1,180,224,8,6,11,,53,40,0,4,0,1
0,187,226,3,5,9,,53,41,0,2,0,2
226,10,0,179,5,10,,49,21,2,20,2,4
225,0,0,192,6,7,,50,26,0,17,3,2
225,2,0,190,6,7,,52,2,0,43,1,0
225,25,0,167,6,7,,52,2,0,43,1,0
223,4,0,186,8,9,,50,4,2,41,1,0
0,181,224,12,7,6,,50,23,1,22,2,0
1,193,223,0,7,6,,53,45,2,0,0,0
222,10,0,182,9,7,,52,39,0,5,1,1
0,185,217,7,14,7,,51,6,2,2,39,0
3,191,215,1,13,7,,23,45,1,30,0,1
1,179,217,15,13,5,,53,43,2,0,2,0
1,191,218,0,12,8,,52,0,0,44,1,1
217,17,0,176,14,6,,53,10,0,34,0,1
126,180,86,5,19,14,,52,2,0,43,1,0
209,184,1,0,21,15,,52,10,0,35,1,0
221,0,0,184,10,15,,46,16,6,29,1,0
224,4,0,182,7,13,,53,44,0,0,0,1
223,187,1,0,7,12,,53,44,2,0,1,0
0,185,225,2,6,12,,53,6,0,38,0,1
223,27,1,159,7,13,,1,44,49,0,3,1
191,184,33,3,7,12,,50,15,0,29,3,1
219,0,0,191,12,8,,53,5,0,36,0,4
224,1,0,190,7,8,,53,6,0,35,0,4
222,8,2,182,7,9,,51,6,0,38,2,1
2,182,221,7,8,10,,53,16,0,28,0,1
3,187,219,2,9,10,,52,0,1,42,0,3
0,178,222,9,9,12,,52,21,0,21,1,3
0,184,220,3,11,12,,52,41,0,1,1,3
219,10,3,180,9,9,,52,2,0,41,1,2
211,0,0,186,14,9,,51,2,0,37,2,6
1,179,218,10,12,10,,48,1,0,40,5,4
218,4,2,186,11,9,,49,0,0,42,4,3
3,184,215,5,13,10,,49,0,0,42,4,3
4,188,214,3,13,8,,52,4,0,39,1,2
0,190,217,0,14,9,,51,2,0,41,2,2
217,12,0,179,14,8,,52,3,0,40,1,2
194,191,23,0,14,8,,51,4,0,39,2,2
223,183,0,1,8,15,,52,2,0,41,1,2
224,186,0,0,7,13,,52,9,0,34,1,2
218,184,5,2,7,13,,51,1,1,41,1,3
227,0,0,190,4,9,,52,41,0,0,1,4
227,2,0,192,4,5,,52,41,0,0,1,4
1,187,227,0,3,12,,52,41,0,0,1,4
4,186,224,1,3,12,,51,41,0,0,2,4
1,184,227,4,3,11,,52,40,0,0,1,5
0,187,228,0,3,12,,52,21,0,20,1,4
228,5,0,181,3,13,,51,1,0,43,2,1
227,0,0,193,4,6,,52,2,0,42,1,1
225,3,0,184,7,12,,52,6,0,38,1,1
0,191,225,2,7,6,,52,0,0,42,1,3
0,192,225,0,7,7,,50,43,0,0,3,2
226,18,1,170,5,11,,51,11,0,32,2,2
0,175,226,10,6,14,,52,36,0,3,1,6
0,183,224,3,8,13,,53,24,0,20,0,1
226,12,0,174,6,13,,1,44,50,0,2,1
216,1,0,173,10,21,,1,44,50,0,2,1
0,191,226,0,6,8,,50,3,0,41,3,1
226,12,0,181,6,6,,50,4,0,40,3,1
218,180,0,0,14,19,,50,2,0,42,3,1
216,177,0,0,16,22,,49,43,0,0,4,2
2,186,225,6,5,7,,49,19,0,24,4,2
6,190,220,5,6,4,,50,43,0,0,3,2
2,195,224,0,6,4,,51,4,0,37,2,4
219,10,7,185,6,4,,51,38,0,0,2,7
228,2,0,187,4,10,,50,3,1,35,2,7
227,0,0,190,5,9,,53,41,0,3,0,1
226,192,0,0,6,7,,50,7,0,37,3,1
7,190,222,1,3,8,,51,9,0,35,2,1
0,193,227,0,5,6,,52,10,0,34,1,1
219,3,10,191,3,5,,51,43,0,0,2,2
210,189,17,2,5,8,,51,43,0,0,2,2
190,188,32,2,10,9,,50,44,0,0,3,1
211,188,10,2,11,9,,50,7,0,35,3,3
134,127,85,55,12,16,,50,8,0,35,3,2
229,0,0,194,3,5,,51,9,0,35,2,1
229,7,0,186,3,6,,51,28,0,15,2,2
146,116,83,74,2,8,,51,24,0,19,2,2
0,191,228,4,4,4,,51,40,0,1,2,4
230,18,0,179,2,2,,51,5,0,36,2,4
222,0,0,193,10,6,,50,1,1,39,2,5
220,0,0,194,12,5,,53,42,0,0,0,3
6,176,209,5,17,18,,53,7,0,35,0,3
8,181,209,2,15,16,,51,15,0,27,2,3
4,182,215,4,13,13,,50,0,2,41,1,4
4,181,216,6,12,12,,51,0,2,43,0,2
1,186,218,0,13,13,,53,36,0,7,0,2
220,4,0,182,12,13,,48,1,0,37,5,7
0,179,215,2,17,18,,50,0,0,42,3,3
214,16,0,165,18,18,,49,0,1,42,3,3
1,190,221,0,10,9,,47,0,3,42,1,0
223,7,0,185,9,7,,51,3,0,39,2,3
219,0,0,190,13,9,,50,7,0,35,3,3
222,0,1,193,9,6,,50,2,0,40,3,3
0,2,224,189,8,8,,51,39,0,2,2,4
0,116,224,76,8,7,,51,42,0,0,2,3
0,89,224,103,8,7,,51,42,0,0,2,3
205,52,20,139,7,8,,51,14,0,28,2,3
133,0,97,194,2,5,,52,24,0,17,1,4
0,163,230,31,2,5,,48,2,0,32,5,11
219,0,12,193,2,6,,48,2,0,33,5,10
197,170,15,1,20,28,,48,3,0,34,5,8
211,173,0,0,21,26,,49,39,0,0,4,6
224,2,0,189,8,8,,49,40,0,0,4,5
226,12,0,181,6,6,,50,6,0,35,3,4
208,60,17,133,7,6,,51,7,0,34,2,4
211,192,13,0,8,7,,51,6,0,35,2,4
227,0,0,189,5,10,,51,4,0,37,2,4
4,164,221,28,7,7,,51,3,1,37,1,5
22,173,204,18,6,8,,51,22,0,19,2,4
225,191,1,0,6,8,,51,40,0,3,2,2
137,59,89,132,6,8,,49,1,0,41,4,3
190,29,37,161,5,9,,49,11,0,30,4,4
185,22,43,169,4,8,,49,17,0,23,4,5
9,155,217,31,6,13,,47,15,0,23,6,7
4,190,222,0,6,9,,51,2,0,37,2,6
218,184,9,5,5,10,,51,2,0,37,2,6
202,186,4,0,26,13,,51,2,0,37,2,6
207,188,0,0,25,11,,50,40,0,4,3,1
137,116,66,61,28,21,,50,0,1,43,2,2
223,0,0,192,9,7,,52,44,0,0,1,1
222,2,0,187,10,10,,52,0,0,43,1,2
224,1,0,191,8,7,,52,1,0,43,1,1
224,6,0,188,8,5,,52,41,0,3,1,1
191,192,33,0,8,7,,51,1,0,38,2,6
0,191,223,1,9,7,,49,2,0,30,4,13
225,6,0,187,7,6,,49,2,0,31,4,12
224,26,0,168,8,5,,49,2,0,31,4,12
223,9,0,178,9,12,,49,1,0,32,4,12
223,0,0,192,9,7,,49,43,0,0,4,2
223,1,0,192,9,6,,49,43,0,0,4,2
106,191,116,1,10,7,,50,43,0,0,3,2
225,7,0,186,8,6,,51,43,0,0,2,2
1,190,209,0,22,9,,50,0,1,43,2,2
212,62,1,130,19,7,,50,0,1,43,2,2
12,178,201,4,19,17,,0,33,51,10,2,2
4,175,207,13,21,11,,1,39,52,4,0,2
182,191,32,0,18,8,,53,40,0,3,0,2
187,191,27,0,18,8,,51,4,0,39,2,2
172,191,41,0,19,8,,51,40,0,0,2,5
202,158,11,34,20,7,,50,41,0,0,3,4
199,172,10,0,23,27,,39,41,11,1,3,3
210,171,0,0,22,28,,51,18,0,26,2,1
223,189,4,0,5,10,,39,0,11,45,3,0
219,190,0,0,13,9,,50,23,0,22,3,0
220,172,1,18,11,9,,49,1,2,42,2,2
1,6,213,168,18,25,,46,37,5,5,2,3
1,22,208,153,23,24,,50,1,2,42,1,2
11,181,216,13,5,5,,47,41,5,2,1,2
4,190,223,4,5,5,,50,2,0,43,3,0
218,4,7,189,7,6,,50,1,0,44,3,0
223,8,4,186,5,5,,51,3,1,42,1,0
228,162,0,33,4,4,,4,44,47,0,2,1
179,124,51,70,2,5,,51,44,0,0,2,1
227,4,3,189,2,6,,51,40,0,4,2,1
228,17,0,177,4,5,,50,17,0,23,3,5
6,171,224,23,2,5,,49,43,0,0,4,2
15,176,214,16,3,7,,52,2,0,43,1,0
178,1,51,193,3,5,,53,3,2,0,42,0
226,7,4,187,2,5,,52,3,0,39,1,3
27,164,203,30,2,5,,53,45,2,0,0,0
33,191,197,2,2,6,,53,45,2,0,0,0
0,194,227,0,5,5,,53,45,2,0,0,0
216,109,13,85,3,5,,53,38,2,0,7,0
206,173,1,0,25,26,,51,1,2,39,0,5
207,163,0,0,25,36,,48,0,2,41,3,4
129,0,93,187,10,12,,52,43,0,0,1,2
136,170,86,20,10,9,,52,17,0,26,1,2
212,128,9,62,11,9,,51,13,1,30,1,2
213,5,9,184,10,10,,0,28,52,15,1,2
3,124,218,64,11,11,,4,43,48,0,1,2
10,163,212,26,10,10,,52,25,0,18,1,2
76,184,142,3,14,11,,51,1,1,41,1,3
25,41,193,146,14,12,,50,11,2,31,1,3
43,153,178,34,11,12,,1,42,50,0,2,3
203,5,18,183,11,11,,48,0,2,42,3,3
116,0,104,186,12,13,,50,34,0,8,3,3
9,160,206,24,17,15,,50,39,0,3,3,3
141,7,78,175,13,17,,49,30,1,12,3,3
196,2,24,184,12,13,,50,6,0,33,3,6
66,171,154,16,12,12,,52,43,0,0,1,2
49,170,172,17,11,12,,52,0,0,43,1,2
214,5,7,182,11,12,,52,25,0,18,1,2
