Democrat Yea,Republican Yea,Democrat Nay,Republican Nay,Democrat Not Voting,Republican Not Voting,,Senate Democrat Yea,Senate Republican Yea,Senate Democrat Nay,Senate Republican Nay,Senate Democrat Not Voting,Senate Republican Not Voting
NA,NA,NA,NA,NA,NA,,57,38,0,0,1,2
3,140,223,22,29,15,,13,40,43,0,2,0
223,156,0,0,32,22,,54,33,0,0,4,7
218,151,0,1,37,26,,56,39,0,0,2,1
205,151,0,1,50,26,,36,16,22,23,0,1
233,164,0,0,22,14,,54,38,0,0,4,2
233,163,0,0,21,15,,9,37,45,1,4,2
234,164,0,0,19,14,,2,31,52,7,4,2
239,0,8,167,8,11,,2,35,52,3,4,2
241,0,4,169,10,9,,13,37,1,45,3,1
61,164,187,4,7,10,,16,39,1,42,1,1
240,14,5,153,10,11,,58,0,2,0,40,0
234,15,4,149,17,14,,58,0,2,0,40,0
243,19,4,143,8,16,,58,0,0,39,0,1
246,165,0,1,9,12,,53,23,1,5,17,1
242,155,1,9,12,14,,47,22,1,11,18,1
236,162,0,0,19,16,,58,0,0,32,0,8
239,161,0,0,16,17,,58,0,0,37,0,3
237,161,1,1,17,16,,58,22,0,16,0,2
232,2,8,166,15,10,,58,36,0,0,0,4
242,145,0,18,13,15,,52,31,0,0,5,10
245,170,0,0,10,8,,51,0,2,31,4,10
240,0,4,171,11,7,,55,5,1,29,1,7
245,165,0,4,10,9,,54,6,1,33,2,2
241,167,0,0,14,11,,55,13,1,27,1,1
229,161,0,0,26,17,,55,19,0,20,2,2
230,161,1,0,24,17,,3,35,52,4,2,2
229,160,0,0,26,18,,55,21,0,18,2,2
238,0,5,170,12,8,,57,40,0,0,0,1
237,0,7,169,11,9,,57,40,0,0,0,1
247,171,0,0,8,7,,3,39,52,0,2,2
245,171,0,0,10,7,,55,21,0,19,2,1
243,171,0,0,12,7,,1,37,56,3,0,1
249,168,0,5,12,5,,52,0,5,40,0,1
225,171,28,3,8,4,,9,29,48,9,0,3
249,170,0,3,12,5,,45,1,12,37,0,3
247,169,0,4,14,5,,54,0,3,38,0,3
249,168,0,4,12,6,,56,3,1,35,0,3
253,171,0,0,8,7,,57,1,0,37,0,3
254,165,0,4,7,9,,4,40,0,53,1,2
255,168,0,6,6,4,,0,22,0,57,19,2
257,173,0,0,4,5,,17,41,1,40,0,1
253,169,0,5,2,4,,56,41,0,0,1,0
253,173,0,0,2,5,,57,41,2,0,0,0
233,0,20,175,2,3,,53,0,2,4,41,0
217,0,37,175,2,3,,56,8,2,1,33,0
247,165,0,6,8,7,,55,9,1,32,1,0
233,0,15,172,8,6,,54,6,1,35,2,0
193,137,0,0,61,41,,53,6,1,29,3,6
194,137,0,0,60,41,,51,15,4,25,2,1
235,3,3,162,16,13,,53,32,3,8,1,1
240,166,0,0,14,12,,5,36,51,4,1,1
241,165,0,0,13,13,,3,38,53,1,1,2
242,166,0,0,12,12,,55,6,1,33,1,2
237,165,0,0,17,13,,55,11,1,28,1,2
1,162,236,5,17,11,,56,40,0,0,1,1
18,159,225,8,11,11,,15,40,39,0,3,1
239,6,4,160,11,12,,27,0,28,40,2,1
239,6,4,160,11,12,,2,39,53,1,2,1
238,0,10,171,6,7,,3,23,51,17,3,1
249,172,0,0,5,6,,55,37,0,0,2,4
248,167,0,3,6,8,,55,0,0,39,2,2
5,165,246,3,3,10,,54,0,1,39,2,2
253,153,0,19,2,6,,54,0,2,40,1,1
249,170,0,0,5,8,,52,0,3,40,2,1
237,0,10,166,7,12,,54,0,3,40,0,1
162,153,87,10,5,15,,56,0,1,40,0,1
248,163,0,0,6,15,,55,0,1,40,1,1
245,1,4,162,11,15,,3,40,54,0,0,1
249,152,0,11,11,15,,56,0,1,40,0,1
248,162,1,0,11,16,,0,40,57,0,0,1
28,158,217,0,9,20,,54,0,2,40,1,1
234,1,9,159,11,18,,55,0,2,40,0,1
236,147,0,0,18,31,,56,0,1,40,0,1
