Democrat Yea,Republican Yea,Democrat Nay,Republican Nay,Democrat Not Voting,Republican Not Voting,,Senate Democrat Yea,Senate Republican Yea,Senate Democrat Nay,Senate Republican Nay,Senate Democrat Not Voting,Senate Republican Not Voting
NA,NA,NA,NA,NA,NA,,52,12,0,12,3,17
NA,NA,NA,NA,NA,NA,,49,17,1,23,5,1
0,174,249,0,5,1,,52,19,0,21,3,1
242,0,6,175,7,0,,53,17,0,23,2,1
245,114,0,58,9,3,,8,33,45,6,1,1
247,141,0,31,8,5,,53,39,0,2,2,0
9,169,239,1,7,7,,0,40,52,1,2,0
246,10,3,160,7,7,,50,1,3,40,1,0
244,3,5,166,7,8,,51,2,0,39,3,0
222,168,4,1,8,8,,52,1,1,40,1,0
244,167,0,0,11,10,,54,10,0,31,1,0
245,170,0,0,10,8,,54,3,0,38,1,0
246,169,0,0,9,9,,54,3,0,38,1,0
244,0,3,175,8,3,,54,5,0,36,1,0
5,174,244,3,6,1,,49,10,3,30,3,1
249,40,2,137,5,1,,54,4,1,36,1,1
235,0,15,176,5,2,,55,39,0,1,1,1
249,174,0,0,7,4,,0,32,55,8,1,1
242,33,10,142,8,3,,1,36,54,4,1,1
3,148,249,25,8,5,,54,8,1,32,1,1
0,142,250,31,10,5,,1,35,53,5,2,1
252,173,0,0,8,5,,1,41,54,0,1,0
253,174,0,0,7,4,,6,41,49,0,1,0
251,0,1,175,3,3,,0,36,55,5,1,0
27,172,226,2,2,4,,52,0,3,41,1,0
242,18,10,156,3,4,,2,37,53,4,1,0
99,171,151,4,6,3,,5,35,50,6,1,0
245,172,0,0,10,6,,0,36,55,5,1,0
238,161,2,3,13,9,,50,3,5,38,1,0
238,164,0,0,16,14,,9,8,46,33,1,0
238,164,0,0,16,14,,55,9,0,32,1,0
252,0,0,175,2,3,,54,19,0,21,2,1
252,0,0,174,2,4,,54,2,1,38,1,1
244,0,8,175,2,3,,13,38,42,2,1,1
235,0,16,175,3,3,,38,31,17,9,1,1
2,174,249,1,3,3,,8,33,47,7,1,1
247,3,5,172,3,3,,0,32,55,8,1,1
224,0,27,172,4,6,,0,36,55,4,1,1
240,0,5,169,9,9,,0,35,55,5,1,1
243,0,9,176,2,2,,3,40,52,0,1,1
236,22,13,155,5,1,,0,37,55,3,1,1
0,134,258,43,1,1,,0,37,55,3,1,1
0,116,258,61,1,1,,2,37,53,2,1,2
2,168,256,9,1,1,,0,30,55,9,1,2
13,146,239,31,2,1,,0,40,55,0,1,1
244,0,11,177,0,1,,5,26,50,14,1,1
247,170,0,0,7,8,,4,38,51,2,1,1
248,171,0,0,6,7,,0,35,55,5,1,1
245,168,0,3,9,7,,0,37,55,3,1,1
250,40,2,133,3,5,,0,1,55,39,1,1
15,165,236,6,3,7,,33,40,22,0,1,1
241,23,10,148,3,7,,55,40,0,0,1,1
242,165,1,0,11,13,,3,36,52,3,1,2
236,167,0,0,18,11,,11,36,44,3,1,2
236,162,0,0,18,16,,55,23,0,16,1,2
232,162,0,0,22,16,,6,39,49,0,1,2
237,5,0,157,10,7,,3,38,52,1,1,2
243,170,0,0,11,8,,0,35,55,4,1,2
241,165,0,0,13,13,,56,3,0,36,0,2
237,1,8,173,8,4,,56,3,0,37,0,1
249,174,0,0,5,4,,56,3,0,37,0,1
248,149,0,25,6,4,,54,37,1,3,1,1
248,0,2,172,4,6,,55,3,0,38,1,0
250,172,0,0,4,6,,55,3,0,38,1,0
251,173,0,0,3,5,,52,8,2,32,2,1
234,0,18,176,2,2,,54,24,0,17,2,0
231,0,21,173,2,5,,1,35,54,6,1,0
232,0,19,176,3,2,,0,7,55,34,1,0
14,172,240,4,1,2,,1,29,54,11,1,1
246,0,7,176,1,2,,55,0,0,41,1,0
242,161,0,0,12,17,,45,41,10,0,1,0
231,64,1,101,22,13,,22,40,33,1,1,0
231,68,2,97,21,13,,53,6,2,35,1,0
231,165,1,0,22,13,,2,30,52,9,2,2
228,14,14,149,12,15,,0,33,53,6,3,2
247,76,2,93,5,9,,5,35,49,4,2,2
249,153,0,16,5,9,,7,31,47,8,2,2
249,171,0,0,5,7,,1,36,53,3,2,2
249,168,0,0,5,10,,5,29,49,10,2,2
226,20,18,151,9,7,,6,37,48,2,2,2
247,174,0,0,6,4,,3,36,50,3,3,2
244,171,0,2,9,5,,3,39,50,0,3,2
233,1,8,169,12,8,,4,39,49,0,3,2
238,155,7,18,8,5,,1,25,52,14,3,2
245,153,3,21,5,4,,4,36,49,3,3,2
229,16,20,158,4,4,,4,28,51,10,1,3
224,2,17,165,6,5,,3,31,52,7,1,3
238,0,11,172,4,6,,5,33,50,5,1,3
224,0,26,172,3,6,,4,38,51,0,1,3
238,161,0,0,15,17,,0,32,54,8,2,1
237,157,0,13,16,8,,0,38,55,2,1,1
245,157,0,13,8,8,,7,40,48,0,1,1
245,169,0,0,8,9,,48,0,7,40,1,1
246,173,0,0,7,5,,2,36,53,4,1,1
245,173,0,0,8,5,,45,5,10,35,1,1
243,172,0,0,10,6,,52,8,3,32,1,1
239,0,7,174,6,4,,52,11,1,27,3,3
243,174,0,0,10,4,,53,17,0,20,3,4
242,174,0,0,11,4,,55,16,0,21,1,4
253,10,0,164,6,4,,53,38,1,3,2,0
37,174,218,0,4,4,,55,22,0,19,1,0
254,169,0,2,5,7,,54,9,1,32,1,0
8,174,242,0,3,4,,51,10,4,31,1,0
227,7,24,167,3,4,,53,3,1,38,2,0
218,4,21,160,9,5,,52,16,2,25,2,0
208,154,10,5,32,18,,54,21,0,20,2,0
201,19,14,128,38,31,,52,7,0,31,4,3
8,152,218,0,27,26,,49,23,0,14,7,4
224,104,2,48,27,26,,55,40,0,0,1,1
231,152,0,11,22,15,,8,40,47,0,1,1
232,156,0,9,20,13,,52,2,3,38,1,1
211,160,17,2,24,16,,54,0,0,41,2,0
224,4,22,162,2,3,,6,41,48,0,2,0
251,176,0,0,2,2,,51,0,2,41,3,0
250,174,0,0,3,4,,55,22,0,19,1,0
248,173,0,0,5,5,,52,0,2,41,2,0
248,34,3,141,3,3,,47,40,7,1,2,0
244,173,0,0,9,5,,2,41,52,0,2,0
248,174,0,0,5,4,,2,41,53,0,1,0
245,173,0,0,8,5,,1,39,54,2,1,0
248,174,0,1,6,3,,55,41,0,0,1,0
1,139,249,35,9,4,,41,40,14,1,1,0
244,73,0,101,9,4,,3,40,52,1,1,0
229,162,0,10,24,6,,2,41,53,0,1,0
233,151,0,0,20,27,,40,0,15,41,1,0
234,150,0,0,19,28,,26,41,29,0,1,0
233,151,0,0,20,27,,2,41,53,0,1,0
249,172,0,0,4,6,,2,37,53,3,1,1
247,171,0,0,6,7,,0,38,55,3,1,0
246,163,0,7,7,8,,55,39,0,2,1,0
221,0,8,174,24,4,,37,21,18,20,1,0
247,1,2,172,4,5,,2,41,53,0,1,0
253,135,0,36,6,7,,53,1,2,40,1,0
250,11,5,163,4,4,,2,26,53,15,1,0
4,171,253,3,2,4,,24,41,31,0,1,0
254,118,1,56,4,4,,7,30,48,10,1,1
253,30,2,145,4,3,,55,32,0,9,1,0
256,83,1,92,2,3,,53,40,2,0,1,1
144,174,105,0,4,4,,1,39,54,2,1,0
251,70,1,104,2,4,,30,0,25,41,1,0
222,4,22,158,3,7,,54,17,1,24,1,0
242,0,8,172,3,6,,13,41,42,0,1,0
243,85,6,87,4,6,,1,41,54,0,1,0
243,12,1,159,9,7,,5,41,50,0,1,0
228,168,0,0,25,10,,22,40,33,1,1,0
231,168,0,0,22,10,,10,41,0,46,0,2
245,167,0,3,8,8,,54,0,2,2,41,0
246,156,0,16,7,6,,1,30,53,11,2,0
244,171,0,0,9,7,,3,24,51,17,2,0
241,1,9,171,3,6,,2,34,52,7,2,0
246,1,3,174,4,3,,4,35,50,6,2,0
249,174,0,0,4,4,,3,38,51,3,2,0
247,38,4,136,2,4,,0,18,54,23,2,0
250,173,0,0,3,5,,53,0,2,41,1,0
219,4,25,157,4,6,,50,31,0,4,6,6
248,0,2,173,3,5,,51,36,0,0,5,5
249,171,0,0,10,7,,51,35,0,1,5,5
249,171,0,0,10,7,,52,20,0,17,4,4
250,172,0,0,9,6,,54,17,0,23,2,1
247,171,1,1,11,6,,53,40,0,0,3,1
8,140,240,32,11,6,,54,36,0,4,2,1
243,169,0,3,10,6,,1,30,51,9,4,2
206,4,25,148,18,17,,52,3,1,36,3,2
238,153,0,8,15,17,,27,39,26,0,3,2
235,155,0,6,18,17,,1,39,52,0,3,2
240,0,0,173,13,5,,1,37,52,2,3,2
243,164,0,8,10,6,,44,38,8,1,4,2
244,174,0,1,9,3,,39,39,13,0,4,2
249,26,0,149,5,3,,24,39,29,0,3,2
249,155,0,17,4,6,,54,28,0,4,2,9
249,173,1,2,3,3,,54,36,0,4,2,1
245,43,6,130,2,5,,54,9,0,31,2,1
251,130,0,42,2,6,,51,0,3,40,2,1
246,170,1,0,6,8,,43,0,11,40,2,1
212,5,27,158,9,4,,54,33,0,2,2,6
234,0,5,174,14,4,,6,33,47,4,4,3
236,0,4,171,13,6,,0,36,53,1,4,3
214,9,31,165,8,4,,0,31,53,8,4,1
244,173,0,0,10,5,,8,39,45,1,4,0
63,165,190,8,6,4,,54,40,0,0,3,0
240,6,13,167,6,4,,0,36,53,4,4,0
237,10,8,163,8,4,,54,1,0,39,3,0
237,7,10,167,6,4,,11,39,43,1,3,0
242,0,6,176,5,2,,54,39,0,1,3,0
18,124,233,51,2,3,,54,35,0,5,3,0
12,157,238,18,3,3,,52,39,0,0,5,1
228,70,8,104,17,4,,52,37,0,1,5,2
84,0,172,176,3,2,,27,39,27,1,3,0
0,111,257,65,2,2,,53,2,1,38,3,0
