Republican Yea,Democrat Yea,Republican Nay,Democrat Nay,Republican Not Voting,Democrat Not Voting,,Senate Democrat Yea,Senate Republican Yea,Senate Democrat Nay,Senate Republican Nay,Senate Democrat Not Voting,Senate Republican Not Voting
NA,NA,NA,NA,NA,NA,,48,47,0,0,3,0
NA,NA,NA,NA,NA,NA,,49,41,0,4,2,2
223,0,0,188,16,4,,49,30,0,15,2,2
236,0,0,188,3,4,,11,0,38,45,2,2
0,191,238,0,1,1,,42,0,6,45,3,2
238,0,0,191,1,1,,44,0,4,45,3,2
NA,NA,NA,NA,NA,NA,,43,0,7,47,1,0
231,177,0,13,8,3,,34,47,16,0,1,0
234,2,0,182,7,9,,0,47,50,0,1,0
232,4,0,181,7,8,,50,44,0,1,1,2
230,27,0,159,9,6,,50,3,0,42,1,2
234,165,0,0,7,28,,47,46,0,0,4,1
0,185,240,5,1,3,,48,46,0,0,3,1
242,3,0,189,0,1,,49,46,0,1,2,0
240,188,0,1,1,4,,47,44,0,0,4,3
239,14,0,175,2,4,,49,47,0,0,2,0
232,6,0,174,9,13,,0,47,49,0,2,0
232,8,0,168,9,17,,49,0,0,47,2,0
0,184,238,4,3,4,,40,45,9,2,2,0
239,17,0,165,2,11,,50,44,0,2,1,1
238,186,0,0,3,7,,44,15,6,32,1,0
232,2,0,178,9,13,,50,0,0,47,1,0
232,164,0,7,9,22,,30,3,20,44,1,0
1,172,227,1,13,20,,48,9,2,38,1,0
229,10,1,159,11,24,,49,37,0,8,2,2
210,67,26,122,5,4,,48,41,0,0,3,6
238,191,0,0,3,2,,49,46,1,1,1,0
236,23,2,167,3,3,,50,0,0,47,1,0
233,15,4,172,3,6,,48,42,1,3,5,1
234,6,0,180,6,7,,10,47,39,0,2,0
237,18,0,169,3,6,,41,44,2,10,3,0
0,178,239,3,1,12,,48,40,0,0,3,7
238,153,0,28,2,12,,47,41,0,0,4,6
225,119,4,46,10,28,,47,39,1,2,3,6
2,184,234,0,4,9,,49,44,2,2,3,0
210,65,27,117,3,11,,0,44,0,51,3,2
220,132,10,49,7,12,,41,0,1,10,47,1
238,2,0,179,2,12,,49,45,0,0,2,2
234,8,0,174,4,11,,50,44,0,0,1,3
235,8,3,173,2,12,,50,32,0,12,1,3
92,115,148,75,0,3,,50,46,0,1,1,0
71,1,169,189,0,3,,50,47,0,0,1,0
17,88,223,103,0,2,,50,47,0,0,1,0
104,5,135,185,1,3,,48,38,1,3,9,1
236,18,4,172,0,3,,50,45,0,0,1,2
110,123,130,68,0,1,,47,39,0,0,4,8
36,99,202,92,2,2,,45,39,0,0,6,8
16,117,224,75,0,1,,40,0,11,46,0,1
9,127,231,65,0,1,,40,46,11,0,0,1
145,160,95,32,0,1,,51,37,2,0,10,0
217,45,22,147,1,1,,7,0,0,44,47,2
157,27,82,165,1,1,,7,0,0,44,47,2
70,158,169,34,1,1,,9,3,0,42,44,2
170,1,68,191,2,1,,4,46,0,47,1,2
165,5,75,187,0,1,,51,47,2,0,0,0
13,146,227,46,0,1,,49,6,2,2,41,0
23,185,217,6,0,2,,18,46,0,33,1,2
135,2,103,190,2,1,,51,43,0,0,0,4
44,86,196,105,0,2,,0,47,0,51,0,2
132,186,107,6,1,1,,0,42,0,51,5,2
207,6,32,184,1,3,,48,32,1,3,15,1
16,57,220,132,2,4,,48,40,0,0,3,7
190,9,48,182,2,2,,50,45,0,0,1,2
228,11,9,176,3,6,,50,0,0,44,1,2
219,9,21,182,0,2,,50,11,0,33,0,1
211,68,26,117,3,8,,48,0,0,44,3,2
168,3,70,186,2,4,,48,1,1,39,2,7
