Democrat Yea,Republican Yea,Democrat Nay,Republican Nay,Democrat Not Voting,Republican Not Voting,,Senate Democrat Yea,Senate Republican Yea,Senate Democrat Nay,Senate Republican Nay,Senate Democrat Not Voting,Senate Republican Not Voting
NA,NA,NA,NA,NA,NA,,45,1,10,43,1,0
NA,NA,NA,NA,NA,NA,,10,42,45,2,1,0
248,0,1,160,13,5,,54,44,0,0,2,0
0,159,254,0,8,6,,55,44,0,0,1,0
240,0,0,159,22,6,,55,44,0,0,1,0
211,72,5,87,49,7,,55,44,0,0,1,0
259,41,5,125,2,0,,55,44,0,0,1,0
178,3,86,163,2,0,,55,44,0,0,1,0
86,163,178,3,2,0,,55,44,0,0,1,0
242,155,5,0,13,11,,2,0,53,44,1,0
250,163,0,0,15,3,,52,42,0,0,4,2
252,163,0,0,13,3,,20,5,34,38,2,1
249,163,0,0,16,3,,17,6,37,37,2,1
254,164,0,0,11,2,,50,41,0,0,6,3
250,164,0,0,15,2,,27,11,24,30,5,3
250,159,0,0,15,7,,36,12,18,29,2,3
251,160,0,0,14,6,,48,7,6,35,2,2
234,162,0,0,31,4,,49,7,5,35,2,2
243,156,0,0,22,10,,51,4,3,38,2,2
243,159,0,0,22,7,,51,21,3,19,2,4
247,161,0,0,18,5,,31,40,24,4,1,0
249,157,0,0,16,8,,21,42,35,2,0,0
242,149,0,1,23,15,,37,43,18,1,1,0
238,150,0,0,27,15,,56,43,0,0,0,1
251,157,0,0,14,8,,33,36,23,7,0,1
246,155,1,0,18,10,,25,33,29,9,2,2
240,153,16,10,8,2,,54,43,0,0,2,1
245,163,7,0,9,2,,0,0,55,43,1,1
253,160,0,0,12,5,,55,43,0,0,1,1
13,11,244,150,8,4,,55,42,0,1,1,1
NA,NA,NA,NA,NA,NA,,55,43,0,1,1,0
14,91,242,70,9,4,,43,17,13,27,0,0
23,153,232,6,10,6,,5,35,51,9,0,0
38,135,217,24,10,6,,51,1,5,43,0,0
242,120,9,34,14,11,,2,35,54,9,0,0
229,148,18,1,18,16,,14,29,42,15,0,0
237,150,0,0,28,13,,56,4,0,40,0,0
163,108,92,52,10,3,,56,5,0,39,0,0
178,6,82,154,5,3,,25,19,31,25,0,0
39,150,222,11,4,2,,56,36,0,8,0,0
117,2,143,159,5,2,,44,44,12,0,0,0
81,119,176,42,7,2,,55,43,0,0,1,0
233,57,5,93,27,13,,19,14,36,29,1,0
245,0,12,158,8,5,,30,27,25,16,1,0
60,115,199,46,6,2,,53,37,2,6,1,0
9,155,252,6,4,2,,26,34,29,9,1,0
7,137,255,24,3,2,,42,18,13,24,1,1
251,144,8,17,6,2,,0,0,55,40,1,3
187,139,63,13,15,11,,21,1,34,39,1,3
95,117,156,39,14,7,,22,3,33,37,1,3
89,103,140,39,37,21,,25,5,29,35,2,3
258,85,0,76,7,2,,38,19,17,21,1,3
