Democrat Yea,Republican Yea,Democrat Nay,Republican Nay,Democrat Not Voting,Republican Not Voting,,Senate Democrat Yea,Senate Republican Yea,Senate Democrat Nay,Senate Republican Nay,Senate Democrat Not Voting,Senate Republican Not Voting
NA,NA,NA,NA,NA,NA,,56,44,0,0,0,0
222,24,4,136,30,16,,55,44,0,0,1,0
218,19,6,148,0,1,,50,5,6,39,0,0
185,5,60,167,11,4,,49,44,6,0,1,0
225,19,4,140,27,17,,42,20,14,24,0,0
238,5,2,166,16,5,,13,29,43,15,0,0
234,107,1,64,21,5,,20,21,36,23,0,0
91,66,154,106,16,4,,53,34,1,8,2,2
46,161,200,10,15,5,,54,40,1,2,1,2
34,144,213,26,15,6,,50,41,3,0,3,3
244,170,1,1,17,5,,49,11,4,29,3,4
22,162,219,8,15,6,,53,40,0,0,3,4
225,111,15,59,16,6,,54,42,0,1,2,1
217,17,8,139,31,20,,56,29,0,15,0,0
223,22,5,146,28,8,,51,0,5,44,0,0
248,0,1,173,7,3,,55,6,1,38,0,0
241,0,3,171,12,5,,52,14,4,30,0,0
19,168,226,0,16,8,,54,38,2,6,0,0
227,2,21,167,13,7,,56,41,0,0,0,3
241,97,5,71,15,8,,6,36,48,4,2,4
14,167,236,1,11,8,,56,41,0,0,0,3
15,168,228,1,13,7,,40,35,16,6,0,3
243,112,2,54,11,10,,56,41,0,0,0,3
243,165,1,0,17,11,,46,32,7,1,3,11
242,148,0,17,14,11,,5,36,47,5,4,3
228,161,1,0,0,1,,52,41,0,0,4,3
168,76,17,48,71,52,,2,30,50,11,4,3
234,15,4,156,18,5,,7,27,45,14,4,3
192,169,31,2,26,3,,52,39,0,2,4,3
192,174,55,0,9,2,,52,41,0,0,4,3
247,176,1,0,13,0,,49,1,3,40,4,3
197,176,53,0,12,0,,51,11,1,30,4,3
246,175,1,0,14,1,,47,32,6,10,3,2
239,22,5,149,12,5,,54,17,0,25,2,2
68,2,186,171,7,3,,42,23,12,19,2,2
240,0,11,173,5,3,,53,42,0,0,3,2
235,2,15,171,6,3,,5,39,50,1,1,4
232,17,6,147,18,12,,1,36,54,4,1,4
72,4,172,167,17,5,,17,3,38,37,1,4
14,114,234,57,13,5,,15,4,40,36,1,4
1,77,242,86,18,13,,7,34,48,6,1,4
191,19,4,128,61,29,,4,19,51,21,1,4
37,166,207,5,17,5,,5,38,50,2,1,4
34,168,215,4,12,4,,55,0,0,39,1,5
252,172,0,0,9,4,,53,32,2,8,1,4
121,3,128,168,12,5,,54,12,0,31,2,1
246,171,1,0,14,5,,17,5,39,39,0,0
NA,NA,NA,NA,NA,NA,,22,41,34,3,0,0
216,136,35,35,1,0,,53,5,0,38,3,1
244,0,1,170,11,6,,34,1,22,43,0,0
92,12,153,160,16,4,,55,2,0,41,1,1
17,56,227,114,17,6,,54,2,0,42,2,0
209,15,7,141,40,20,,31,0,23,44,2,0
77,3,162,164,22,9,,53,41,0,0,3,3
7,158,233,9,21,9,,47,2,4,39,5,3
222,0,11,164,23,12,,49,41,1,1,6,2
81,150,141,8,34,18,,48,34,0,0,8,10
224,21,5,139,27,16,,55,1,0,42,1,1
219,167,22,0,15,9,,3,41,52,3,1,0
15,164,231,10,15,2,,53,6,2,38,1,0
NA,NA,NA,NA,NA,NA,,48,43,7,1,1,0
44,169,210,4,7,3,,56,42,0,0,0,2
45,166,199,4,12,6,,53,37,2,7,1,0
106,5,148,169,7,2,,38,2,17,42,1,0
99,172,151,1,6,3,,53,44,1,0,2,0
221,26,24,144,11,6,,0,42,56,2,0,0
214,29,30,141,12,6,,26,7,28,37,2,0
35,140,208,31,13,5,,53,40,1,4,2,0
33,135,200,32,23,9,,0,34,54,10,2,0
201,35,36,133,19,8,,49,11,0,31,7,2
196,31,33,133,27,12,,49,13,0,29,7,2
234,163,2,0,20,13,,9,26,45,18,2,0
0,58,228,105,33,13,,17,40,38,4,1,0
163,7,78,161,20,8,,11,37,44,6,1,1
178,166,64,0,19,10,,55,3,0,41,1,0
208,53,47,119,6,4,,55,8,0,36,1,0
235,171,19,1,7,4,,56,43,0,1,0,0
235,172,15,0,6,4,,2,30,53,14,1,0
2,170,250,0,4,6,,5,23,51,19,0,2
247,2,4,168,5,6,,4,33,51,10,1,1
243,170,8,0,5,6,,44,1,11,42,1,1
248,112,3,56,5,8,,55,2,0,40,1,2
225,19,7,146,24,11,,55,28,0,12,1,4
239,0,2,173,15,3,,53,22,0,9,3,13
29,166,223,8,4,2,,53,9,1,22,2,13
246,59,6,115,4,2,,53,10,1,21,2,13
246,6,2,168,8,2,,1,34,54,8,1,2
1,165,251,9,4,2,,0,34,55,9,1,1
211,9,39,163,6,4,,53,16,1,28,2,0
203,111,50,60,4,5,,41,37,14,6,1,1
196,27,55,139,10,10,,54,44,1,0,1,0
146,155,107,12,8,9,,53,8,1,36,2,0
32,149,216,18,13,9,,23,31,30,13,3,0
9,164,240,4,12,8,,22,22,31,22,3,0
243,45,4,124,9,7,,30,30,21,13,5,1
