Republican Yea,Democrat Yea,Republican Nay,Democrat Nay,Republican Not Voting,Democrat Not Voting,,Senate Republican Yea,Senate Democrat Yea,Senate Republican Nay,Senate Democrat Nay,Senate Republican Not Voting,Senate Democrat Not Voting
222,199,0,0,6,6,,51,47,0,0,0,1
225,1,0,201,3,3,,51,47,0,0,0,1
224,12,0,189,4,4,,51,47,0,0,0,1
29,132,197,71,2,2,,51,46,0,0,0,2
22,170,204,33,2,2,,50,21,0,24,1,3
196,30,30,171,2,4,,49,1,0,1,1,0
29,167,194,34,5,4,,50,2,0,40,1,6
213,201,10,0,5,4,,50,46,0,0,1,2
2,170,220,32,6,3,,50,2,0,43,1,3
22,170,201,30,5,5,,50,46,0,0,1,2
223,0,0,202,5,3,,49,17,0,24,2,7
220,1,0,201,8,3,,49,3,0,38,2,7
216,0,7,203,6,2,,49,41,0,0,2,7
9,161,214,37,5,7,,50,45,0,0,1,3
25,182,196,16,7,7,,50,4,0,42,1,2
0,170,224,26,4,9,,50,2,0,44,1,2
207,40,17,157,5,8,,1,33,49,10,1,5
218,184,0,0,0,5,,50,39,0,4,1,5
220,189,0,0,8,16,,1,42,50,3,0,3
219,192,0,0,9,13,,50,47,1,1,1,0
210,1,4,190,14,14,,2,46,1,49,2,0
218,194,0,0,10,11,,51,18,1,0,30,0
180,2,43,196,5,7,,0,46,1,51,2,0
174,2,50,196,4,7,,2,47,48,1,1,0
53,1,170,196,5,8,,1,47,1,50,1,0
217,34,7,163,4,8,,1,47,49,1,1,0
221,55,3,141,4,9,,1,47,1,50,1,0
125,5,97,190,6,10,,49,36,2,10,0,2
201,19,21,175,7,11,,46,48,3,0,2,0
183,191,40,1,6,13,,0,46,51,1,0,1
214,190,0,0,14,15,,1,43,0,50,5,1
213,191,0,0,15,14,,0,34,1,51,14,0
214,190,0,0,14,15,,37,0,13,47,1,0
222,200,0,0,6,5,,0,46,1,51,2,0
223,201,0,0,5,4,,0,45,1,51,3,0
220,198,0,0,8,7,,1,47,1,50,1,0
6,202,214,0,8,3,,51,23,1,0,25,0
4,202,217,0,7,3,,1,47,1,50,1,0
204,200,19,0,5,5,,1,44,1,50,4,0
223,198,0,0,5,7,,0,43,1,51,5,0
218,194,2,0,8,11,,0,47,50,1,1,0
220,2,0,198,8,5,,49,2,0,2,46,1
