Republican Yea,Democrat Yea,Republican Nay,Democrat Nay,Republican Not Voting,Democrat Not Voting,,Senate Republican Yea,Senate Democrat Yea,Senate Republican Nay,Senate Democrat Nay,Senate Republican Not Voting,Senate Democrat Not Voting
NA,NA,NA,NA,NA,NA,,0,1,38,35,17,8
NA,NA,NA,NA,NA,NA,,53,32,0,12,2,0
223,1,0,191,1,0,,54,6,0,35,1,3
222,0,0,195,5,4,,49,43,0,0,6,1
1,194,219,0,7,5,,54,6,0,38,1,0
220,0,0,194,7,5,,0,39,54,5,1,0
0,31,178,88,52,80,,1,37,53,7,1,0
210,181,1,0,20,20,,0,36,53,8,2,0
211,181,0,0,20,20,,53,18,0,26,2,0
1,187,209,3,21,11,,54,43,0,0,1,1
0,181,209,2,22,18,,54,43,0,0,1,1
0,186,215,2,16,13,,52,11,0,31,3,2
211,20,3,169,17,12,,1,36,52,6,2,2
218,189,0,0,13,12,,0,40,55,3,0,1
221,188,0,0,10,13,,1,38,54,5,0,1
223,104,0,83,8,14,,0,38,54,4,1,2
223,191,1,0,7,10,,0,38,54,4,1,2
220,190,1,2,10,9,,0,37,54,5,1,2
223,180,1,8,0,3,,13,38,42,4,0,2
227,186,0,0,5,15,,0,23,55,19,0,2
225,186,0,0,6,15,,0,36,55,6,0,2
220,183,0,0,11,18,,1,38,54,4,0,2
227,1,0,190,4,10,,1,37,53,3,1,4
229,188,0,7,2,6,,2,37,51,3,2,4
228,194,0,0,3,7,,0,39,53,1,2,4
227,194,0,0,4,7,,4,41,49,0,2,3
228,0,0,197,3,4,,38,0,17,43,0,1
10,174,216,20,5,7,,4,41,51,2,0,1
8,170,220,23,3,8,,55,14,0,0,30,1
2,192,227,2,2,7,,0,40,1,55,4,0
219,42,8,152,4,7,,0,41,1,55,3,0
228,195,0,0,3,6,,3,44,1,52,0,0
228,191,0,0,3,10,,1,38,1,54,6,0
229,1,0,197,2,3,,0,41,1,55,3,0
228,161,1,36,2,4,,5,41,1,50,3,0
0,177,228,19,4,5,,1,39,54,4,0,1
0,174,227,22,5,5,,0,40,55,3,0,1
229,50,1,147,2,4,,0,37,55,6,0,1
222,187,0,0,9,14,,5,38,50,5,0,1
226,191,0,0,5,10,,55,43,0,0,0,1
226,189,0,0,5,12,,1,41,54,2,0,1
226,1,0,191,5,9,,55,18,0,25,0,1
226,190,0,0,0,1,,55,43,0,0,0,1
5,194,222,0,4,7,,55,18,0,25,0,1
8,193,219,2,4,6,,3,40,49,0,3,4
3,182,225,14,3,5,,55,44,1,0,0,0
